link,title,site_name,pagenum
http://news.hust.edu.cn/info/1003/46016.htm,电气学院曲荣海教授荣获第十二届发明创业奖人物奖,华科综合新闻,588
http://news.hust.edu.cn/info/1003/46005.htm,光电学子在第六届全国大学生集成电路创新创业大赛中再创佳绩,华科综合新闻,588
http://news.hust.edu.cn/info/1003/46004.htm,材料学院召开2022年暑期工作会议暨教职工代表大会,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45993.htm,武汉光电国家研究中心陆培祥创新研究群体成功拍摄单分子电荷迁移的超快电影,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45992.htm,我校在第十届全国大学生机械创新设计大赛中荣获两项一等奖,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45989.htm,社会学院首个地方校友会落户深圳,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45988.htm,电信学院王玉明副教授荣获“湖北智慧法院建设特别贡献奖”,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45987.htm,国家重点研发计划课题综合绩效评价会顺利召开,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45980.htm,【70周年校庆·基层动态】“篮动盛夏 校庆献礼”2022年名校男子篮球邀请赛落幕,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45972.htm,人工智能学子在BCI脑控机器人大赛中蝉联全国冠军,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45971.htm,网安学子斩获“中国软件杯”大学生软件设计大赛全国一等奖,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45970.htm,协和医院骨科专家组赴西藏开展大骨节病集中救助,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45969.htm,陈莉莉教授当选中国医师协会口腔医师分会副会长,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45966.htm,内地高校香港学生学习团赴华中数控参观交流,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45963.htm,公卫学院召开机关新学期工作布置会议,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45960.htm,学校召开附属学校援派干部教师座谈会,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45955.htm,全国首例微创体外人工心脏置入手术在协和医院成功实施,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45954.htm,第七届全国高校密码数学挑战赛决赛在国家网安基地校区举行,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45951.htm,【70周年校庆·基层动态】名校男子篮球邀请赛开幕,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45948.htm,南昌大学来我校开展处级干部履职能力提升交流学习,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45934.htm,劳动教育排课选课工作推进落实专题会召开,华科综合新闻,588
http://news.hust.edu.cn/info/1003/45933.htm,“医”心向党 协和医院举办中国医师节庆祝活动,华科综合新闻,587
http://news.hust.edu.cn/info/1003/45932.htm,滇西应用技术大学一行来校交流对口帮扶工作,华科综合新闻,587
http://news.hust.edu.cn/info/1003/45927.htm,校医院杨睿荣获武汉市“十佳健康科普达人”称号,华科综合新闻,587
http://news.hust.edu.cn/info/1003/45915.htm,后勤集团不惧“烤”验齐守美丽校园,华科综合新闻,587
http://news.hust.edu.cn/info/1003/45912.htm,【70周年校庆·基层动态】2022智能海洋装备与技术国际会议举办,华科综合新闻,587
